research|contato|question|wording|order_question|cidade|bairro|sex|answer|research_name|region|Faixa etária|Religião
0|194|1009|10-Atualmente, a Saúde Pública, sob intervenção do Governo Estadual em Cuiabá:|10|Cuiabá|Vazio|A|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|Não sabe ou não respondeu|Não tem ou Não quer responder
0|194|1010|11-Na sua opinião, a Saúde Pública, sob intervenção do Governo Estadual em Cuiabá, melhorou ou piorou?|11|Cuiabá|Vazio|A|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|Não sabe ou não respondeu|Não tem ou Não quer responder
0|194|1011|12-Obras paradas ou mal feitas, é culpa de quem?|12|Cuiabá|Vazio|A|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|Não sabe ou não respondeu|Não tem ou Não quer responder
0|194|1012|13-O Transporte Público ruim é culpa de quem?|13|Cuiabá|Vazio|A|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|Não sabe ou não respondeu|Não tem ou Não quer responder
0|194|1013|14-Os servidores públicos, de modo geral, merecem mais críticas ou elogios?|14|Cuiabá|Vazio|A|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|Não sabe ou não respondeu|Não tem ou Não quer responder
0|194|1014|15-Os serviços públicos, de modo geral, merecem mais críticas ou elogios?|15|Cuiabá|Vazio|A|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|Não sabe ou não respondeu|Não tem ou Não quer responder
0|194|1015|16-Se as eleições fossem hoje, qual nome surge em sua memória para vereador de Cuiabá? (Espontânea)|16|Cuiabá|Vazio|A|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|Não sabe ou não respondeu|Não tem ou Não quer responder
0|194|1016|17-Você saberia dizer quem o Prefeito Emanuel Pinheiro apoiará para Vereador em Cuiabá? Algum nome que vem a sua memória?|17|Cuiabá|Vazio|A|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|Não sabe ou não respondeu|Não tem ou Não quer responder
0|194|1017|18-Você saberia dizer quem o Governador Mauro Mendes apoiará para Vereador em Cuiabá? |18|Cuiabá|Vazio|A|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|Não sabe ou não respondeu|Não tem ou Não quer responder
0|194|1018|19-Se as eleições fossem hoje, qual nome surge em sua memória para prefeito de Cuiabá? (Espontânea)|19|Cuiabá|Vazio|A|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|Não sabe ou não respondeu|Não tem ou Não quer responder
0|194|1019|20-Se as eleições fossem hoje, qual destes nomes você votaria para prefeito de Cuiabá? (Estimulada)|20|Cuiabá|Vazio|A|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|Não sabe ou não respondeu|Não tem ou Não quer responder
0|194|1020|21-Destes nomes citados, você saberia dizer quem o Governador Mauro Mendes apoiará para Prefeito de Cuiabá? |21|Cuiabá|Vazio|A|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|Não sabe ou não respondeu|Não tem ou Não quer responder
0|194|1021|22-Destes nomes citados, você saberia dizer quem o Prefeito Emanuel Pinheiro apoiará para Prefeito de Cuiabá? |22|Cuiabá|Vazio|A|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|Não sabe ou não respondeu|Não tem ou Não quer responder
0|194|1022|23-E se os candidatos fossem somente colocados desta forma, em um virtual segundo turno:|23|Cuiabá|Vazio|A|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|Não sabe ou não respondeu|Não tem ou Não quer responder
0|194|1023|30-Se as eleições fossem hoje, em qual destes nomes você não votaria de jeito nenhum?|30|Cuiabá|Vazio|A|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|Não sabe ou não respondeu|Não tem ou Não quer responder
0|194|1024|31-Se o Prefeito Emanuel Pinheiro apoiar um dos candidatos a prefeito de Cuiabá, você acredita que esse apoio é bom/aumenta chance de vitória ou é ruim para o candidato, diminui as chances de vitória do candidato?|31|Cuiabá|Vazio|A|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|Não sabe ou não respondeu|Não tem ou Não quer responder
0|194|1025|32-Se o Governador Mauro Mendes apoiar um dos candidatos a prefeito de Cuiabá, você acredita que esse apoio é bom/aumenta chance de vitória ou é ruim para o candidato, diminui as chances de vitória do candidato?|32|Cuiabá|Vazio|A|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|Não sabe ou não respondeu|Não tem ou Não quer responder
0|194|1026|33-Você acredita que aumentaria as chances para um candidato a vereador ou um candidato a prefeito que tenha apoio da Primeira Dama Dona Virginia Mendes, Esposa do Governador Mauro Mendes?|33|Cuiabá|Vazio|A|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|Não sabe ou não respondeu|Não tem ou Não quer responder
0|194|1027|34-Se o Presidente Lula apoiar um dos candidatos a prefeito de Cuiabá, você acredita que esse apoio é bom/aumenta chance de vitória ou é ruim para o candidato, diminui as chances de vitória do candidato?|34|Cuiabá|Vazio|A|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|Não sabe ou não respondeu|Não tem ou Não quer responder
0|194|1028|35-Se o ex-Presidente Bolsonaro apoiar um dos candidatos a prefeito de Cuiabá, você acredita que esse apoio é bom/aumenta chance de vitória ou é ruim para o candidato, diminui as chances de vitória do candidato?|35|Cuiabá|Vazio|A|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|Não sabe ou não respondeu|Não tem ou Não quer responder
0|203|40|24-Abilio ou Fábio Garcia ?|24|Cuiabá|Vazio|A|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|45 a 59|Cristão/Evangélico
0|203|41|25-Abílio ou Lúdio ?|25|Cuiabá|Vazio|A|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|45 a 59|Cristão/Evangélico
0|203|42|26-Botelho ou Fábio Garcia ?|26|Cuiabá|Vazio|A|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|45 a 59|Cristão/Evangélico
0|203|43|27-Botelho ou Lúdio ?|27|Cuiabá|Vazio|A|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|45 a 59|Cristão/Evangélico
0|203|44|28-Lúdio ou Fábio Garcia ?|28|Cuiabá|Vazio|A|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|45 a 59|Cristão/Evangélico
0|203|46|29-Você apoia a legalização do aborto no Brasil?|29|Cuiabá|Vazio|A|Não|Quanti Cuiabá|Vazio|45 a 59|Cristão/Evangélico
0|203|47|36-Você apoia a legítima defesa armada no Brasil? Nesse sentido, vc apoia o armamento civil para cidadãos que desejarem?|36|Cuiabá|Vazio|A|Sim|Quanti Cuiabá|Vazio|45 a 59|Cristão/Evangélico
0|203|1000|01-Você professa alguma religião? Qual?|1|Cuiabá|Vazio|A|Cristão/Evangélico|Quanti Cuiabá|Vazio|45 a 59|Cristão/Evangélico
0|203|1001|02-Você pretende votar nas próximas eleições para Prefeito de Cuiabá?|2|Cuiabá|Vazio|A|Não/Desanimada|Quanti Cuiabá|Vazio|45 a 59|Cristão/Evangélico
0|203|1002|03-Qual sua idade?|3|Cuiabá|Vazio|A|45 a 59|Quanti Cuiabá|Vazio|45 a 59|Cristão/Evangélico
0|203|1003|04-Você diria que a atual gestão do Prefeito Emanuel Pinheiro é:|4|Cuiabá|Vazio|A|Ruim/Reprova|Quanti Cuiabá|Vazio|45 a 59|Cristão/Evangélico
0|203|1004|05-Você diria que a atual gestão do Governador Mauro Mendes é:|5|Cuiabá|Vazio|A|Boa/Aprova|Quanti Cuiabá|Vazio|45 a 59|Cristão/Evangélico
0|203|1005|06-Você diria que a atual gestão do Presidente Lula é:|6|Cuiabá|Vazio|A|Ruim/Reprova|Quanti Cuiabá|Vazio|45 a 59|Cristão/Evangélico
0|203|1006|07-Você diria que a Saúde Pública em Cuiabá está:|7|Cuiabá|Vazio|A|Boa/Aprova|Quanti Cuiabá|Vazio|45 a 59|Cristão/Evangélico
0|203|1007|08-Quem administra a Saúde Pública em Cuiabá:|8|Cuiabá|Vazio|A|Governo Estadual – Mauro Mendes|Quanti Cuiabá|Vazio|45 a 59|Cristão/Evangélico
0|203|1008|09-Você já ouviu falar sobre a intervenção na Saúde Pública em Cuiabá:|9|Cuiabá|Vazio|A|Sei que está em intervenção|Quanti Cuiabá|Vazio|45 a 59|Cristão/Evangélico
0|203|1009|10-Atualmente, a Saúde Pública, sob intervenção do Governo Estadual em Cuiabá:|10|Cuiabá|Vazio|A|Você aprova|Quanti Cuiabá|Vazio|45 a 59|Cristão/Evangélico
0|203|1010|11-Na sua opinião, a Saúde Pública, sob intervenção do Governo Estadual em Cuiabá, melhorou ou piorou?|11|Cuiabá|Vazio|A|Melhorou|Quanti Cuiabá|Vazio|45 a 59|Cristão/Evangélico
0|203|1011|12-Obras paradas ou mal feitas, é culpa de quem?|12|Cuiabá|Vazio|A|Todos fazem isso|Quanti Cuiabá|Vazio|45 a 59|Cristão/Evangélico
0|203|1012|13-O Transporte Público ruim é culpa de quem?|13|Cuiabá|Vazio|A|Prefeitura de Cuiabá|Quanti Cuiabá|Vazio|45 a 59|Cristão/Evangélico
0|203|1013|14-Os servidores públicos, de modo geral, merecem mais críticas ou elogios?|14|Cuiabá|Vazio|A|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|45 a 59|Cristão/Evangélico
0|203|1014|15-Os serviços públicos, de modo geral, merecem mais críticas ou elogios?|15|Cuiabá|Vazio|A|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|45 a 59|Cristão/Evangélico
0|203|1015|16-Se as eleições fossem hoje, qual nome surge em sua memória para vereador de Cuiabá? (Espontânea)|16|Cuiabá|Vazio|A|Nenhum|Quanti Cuiabá|Vazio|45 a 59|Cristão/Evangélico
0|203|1016|17-Você saberia dizer quem o Prefeito Emanuel Pinheiro apoiará para Vereador em Cuiabá? Algum nome que vem a sua memória?|17|Cuiabá|Vazio|A|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|45 a 59|Cristão/Evangélico
0|203|1017|18-Você saberia dizer quem o Governador Mauro Mendes apoiará para Vereador em Cuiabá? |18|Cuiabá|Vazio|A|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|45 a 59|Cristão/Evangélico
0|203|1018|19-Se as eleições fossem hoje, qual nome surge em sua memória para prefeito de Cuiabá? (Espontânea)|19|Cuiabá|Vazio|A|Abilio|Quanti Cuiabá|Vazio|45 a 59|Cristão/Evangélico
0|203|1019|20-Se as eleições fossem hoje, qual destes nomes você votaria para prefeito de Cuiabá? (Estimulada)|20|Cuiabá|Vazio|A|Abilio|Quanti Cuiabá|Vazio|45 a 59|Cristão/Evangélico
0|203|1020|21-Destes nomes citados, você saberia dizer quem o Governador Mauro Mendes apoiará para Prefeito de Cuiabá? |21|Cuiabá|Vazio|A|Fábio Garcia|Quanti Cuiabá|Vazio|45 a 59|Cristão/Evangélico
0|203|1021|22-Destes nomes citados, você saberia dizer quem o Prefeito Emanuel Pinheiro apoiará para Prefeito de Cuiabá? |22|Cuiabá|Vazio|A|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|45 a 59|Cristão/Evangélico
0|203|1022|23-E se os candidatos fossem somente colocados desta forma, em um virtual segundo turno:|23|Cuiabá|Vazio|A|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|45 a 59|Cristão/Evangélico
0|203|1023|30-Se as eleições fossem hoje, em qual destes nomes você não votaria de jeito nenhum?|30|Cuiabá|Vazio|A|Nenhum/Branco/Nulo|Quanti Cuiabá|Vazio|45 a 59|Cristão/Evangélico
0|203|1024|31-Se o Prefeito Emanuel Pinheiro apoiar um dos candidatos a prefeito de Cuiabá, você acredita que esse apoio é bom/aumenta chance de vitória ou é ruim para o candidato, diminui as chances de vitória do candidato?|31|Cuiabá|Vazio|A|Ruim/Diminui chances|Quanti Cuiabá|Vazio|45 a 59|Cristão/Evangélico
0|203|1025|32-Se o Governador Mauro Mendes apoiar um dos candidatos a prefeito de Cuiabá, você acredita que esse apoio é bom/aumenta chance de vitória ou é ruim para o candidato, diminui as chances de vitória do candidato?|32|Cuiabá|Vazio|A|Bom/Aumenta chances|Quanti Cuiabá|Vazio|45 a 59|Cristão/Evangélico
0|203|1026|33-Você acredita que aumentaria as chances para um candidato a vereador ou um candidato a prefeito que tenha apoio da Primeira Dama Dona Virginia Mendes, Esposa do Governador Mauro Mendes?|33|Cuiabá|Vazio|A|Bom/Aumenta chances|Quanti Cuiabá|Vazio|45 a 59|Cristão/Evangélico
0|203|1027|34-Se o Presidente Lula apoiar um dos candidatos a prefeito de Cuiabá, você acredita que esse apoio é bom/aumenta chance de vitória ou é ruim para o candidato, diminui as chances de vitória do candidato?|34|Cuiabá|Vazio|A|Indiferente|Quanti Cuiabá|Vazio|45 a 59|Cristão/Evangélico
0|203|1028|35-Se o ex-Presidente Bolsonaro apoiar um dos candidatos a prefeito de Cuiabá, você acredita que esse apoio é bom/aumenta chance de vitória ou é ruim para o candidato, diminui as chances de vitória do candidato?|35|Cuiabá|Vazio|A|Indiferente|Quanti Cuiabá|Vazio|45 a 59|Cristão/Evangélico
0|231|40|24-Abilio ou Fábio Garcia ?|24|Cuiabá|Vazio|Feminino|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|35 a 44|Cristão/Evangélico
0|231|41|25-Abílio ou Lúdio ?|25|Cuiabá|Vazio|Feminino|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|35 a 44|Cristão/Evangélico
0|231|42|26-Botelho ou Fábio Garcia ?|26|Cuiabá|Vazio|Feminino|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|35 a 44|Cristão/Evangélico
0|231|43|27-Botelho ou Lúdio ?|27|Cuiabá|Vazio|Feminino|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|35 a 44|Cristão/Evangélico
0|231|44|28-Lúdio ou Fábio Garcia ?|28|Cuiabá|Vazio|Feminino|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|35 a 44|Cristão/Evangélico
0|231|46|29-Você apoia a legalização do aborto no Brasil?|29|Cuiabá|Vazio|Feminino|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|35 a 44|Cristão/Evangélico
0|231|47|36-Você apoia a legítima defesa armada no Brasil? Nesse sentido, vc apoia o armamento civil para cidadãos que desejarem?|36|Cuiabá|Vazio|Feminino|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|35 a 44|Cristão/Evangélico
0|231|1000|01-Você professa alguma religião? Qual?|1|Cuiabá|Vazio|Feminino|Cristão/Evangélico|Quanti Cuiabá|Vazio|35 a 44|Cristão/Evangélico
0|231|1001|02-Você pretende votar nas próximas eleições para Prefeito de Cuiabá?|2|Cuiabá|Vazio|Feminino|Sim|Quanti Cuiabá|Vazio|35 a 44|Cristão/Evangélico
0|231|1002|03-Qual sua idade?|3|Cuiabá|Vazio|Feminino|35 a 44|Quanti Cuiabá|Vazio|35 a 44|Cristão/Evangélico
0|231|1003|04-Você diria que a atual gestão do Prefeito Emanuel Pinheiro é:|4|Cuiabá|Vazio|Feminino|Ruim/Reprova|Quanti Cuiabá|Vazio|35 a 44|Cristão/Evangélico
0|231|1004|05-Você diria que a atual gestão do Governador Mauro Mendes é:|5|Cuiabá|Vazio|Feminino|Boa/Aprova|Quanti Cuiabá|Vazio|35 a 44|Cristão/Evangélico
0|231|1005|06-Você diria que a atual gestão do Presidente Lula é:|6|Cuiabá|Vazio|Feminino|Ruim/Reprova|Quanti Cuiabá|Vazio|35 a 44|Cristão/Evangélico
0|231|1006|07-Você diria que a Saúde Pública em Cuiabá está:|7|Cuiabá|Vazio|Feminino|Ruim/Reprova|Quanti Cuiabá|Vazio|35 a 44|Cristão/Evangélico
0|231|1007|08-Quem administra a Saúde Pública em Cuiabá:|8|Cuiabá|Vazio|Feminino|Governo Estadual – Mauro Mendes|Quanti Cuiabá|Vazio|35 a 44|Cristão/Evangélico
0|231|1008|09-Você já ouviu falar sobre a intervenção na Saúde Pública em Cuiabá:|9|Cuiabá|Vazio|Feminino|Sei que está em intervenção|Quanti Cuiabá|Vazio|35 a 44|Cristão/Evangélico
0|231|1009|10-Atualmente, a Saúde Pública, sob intervenção do Governo Estadual em Cuiabá:|10|Cuiabá|Vazio|Feminino|Você reprova|Quanti Cuiabá|Vazio|35 a 44|Cristão/Evangélico
0|231|1010|11-Na sua opinião, a Saúde Pública, sob intervenção do Governo Estadual em Cuiabá, melhorou ou piorou?|11|Cuiabá|Vazio|Feminino|Piorou|Quanti Cuiabá|Vazio|35 a 44|Cristão/Evangélico
0|231|1011|12-Obras paradas ou mal feitas, é culpa de quem?|12|Cuiabá|Vazio|Feminino|Todos fazem isso|Quanti Cuiabá|Vazio|35 a 44|Cristão/Evangélico
0|231|1012|13-O Transporte Público ruim é culpa de quem?|13|Cuiabá|Vazio|Feminino|Prefeitura de Cuiabá|Quanti Cuiabá|Vazio|35 a 44|Cristão/Evangélico
0|231|1013|14-Os servidores públicos, de modo geral, merecem mais críticas ou elogios?|14|Cuiabá|Vazio|Feminino|Elogios|Quanti Cuiabá|Vazio|35 a 44|Cristão/Evangélico
0|231|1014|15-Os serviços públicos, de modo geral, merecem mais críticas ou elogios?|15|Cuiabá|Vazio|Feminino|Críticas|Quanti Cuiabá|Vazio|35 a 44|Cristão/Evangélico
0|231|1015|16-Se as eleições fossem hoje, qual nome surge em sua memória para vereador de Cuiabá? (Espontânea)|16|Cuiabá|Vazio|Feminino|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|35 a 44|Cristão/Evangélico
0|231|1016|17-Você saberia dizer quem o Prefeito Emanuel Pinheiro apoiará para Vereador em Cuiabá? Algum nome que vem a sua memória?|17|Cuiabá|Vazio|Feminino|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|35 a 44|Cristão/Evangélico
0|231|1017|18-Você saberia dizer quem o Governador Mauro Mendes apoiará para Vereador em Cuiabá? |18|Cuiabá|Vazio|Feminino|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|35 a 44|Cristão/Evangélico
0|231|1018|19-Se as eleições fossem hoje, qual nome surge em sua memória para prefeito de Cuiabá? (Espontânea)|19|Cuiabá|Vazio|Feminino|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|35 a 44|Cristão/Evangélico
0|231|1019|20-Se as eleições fossem hoje, qual destes nomes você votaria para prefeito de Cuiabá? (Estimulada)|20|Cuiabá|Vazio|Feminino|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|35 a 44|Cristão/Evangélico
0|231|1020|21-Destes nomes citados, você saberia dizer quem o Governador Mauro Mendes apoiará para Prefeito de Cuiabá? |21|Cuiabá|Vazio|Feminino|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|35 a 44|Cristão/Evangélico
0|231|1021|22-Destes nomes citados, você saberia dizer quem o Prefeito Emanuel Pinheiro apoiará para Prefeito de Cuiabá? |22|Cuiabá|Vazio|Feminino|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|35 a 44|Cristão/Evangélico
0|231|1022|23-E se os candidatos fossem somente colocados desta forma, em um virtual segundo turno:|23|Cuiabá|Vazio|Feminino|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|35 a 44|Cristão/Evangélico
0|231|1023|30-Se as eleições fossem hoje, em qual destes nomes você não votaria de jeito nenhum?|30|Cuiabá|Vazio|Feminino|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|35 a 44|Cristão/Evangélico
0|231|1024|31-Se o Prefeito Emanuel Pinheiro apoiar um dos candidatos a prefeito de Cuiabá, você acredita que esse apoio é bom/aumenta chance de vitória ou é ruim para o candidato, diminui as chances de vitória do candidato?|31|Cuiabá|Vazio|Feminino|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|35 a 44|Cristão/Evangélico
0|231|1025|32-Se o Governador Mauro Mendes apoiar um dos candidatos a prefeito de Cuiabá, você acredita que esse apoio é bom/aumenta chance de vitória ou é ruim para o candidato, diminui as chances de vitória do candidato?|32|Cuiabá|Vazio|Feminino|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|35 a 44|Cristão/Evangélico
0|231|1026|33-Você acredita que aumentaria as chances para um candidato a vereador ou um candidato a prefeito que tenha apoio da Primeira Dama Dona Virginia Mendes, Esposa do Governador Mauro Mendes?|33|Cuiabá|Vazio|Feminino|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|35 a 44|Cristão/Evangélico
0|231|1027|34-Se o Presidente Lula apoiar um dos candidatos a prefeito de Cuiabá, você acredita que esse apoio é bom/aumenta chance de vitória ou é ruim para o candidato, diminui as chances de vitória do candidato?|34|Cuiabá|Vazio|Feminino|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|35 a 44|Cristão/Evangélico
0|231|1028|35-Se o ex-Presidente Bolsonaro apoiar um dos candidatos a prefeito de Cuiabá, você acredita que esse apoio é bom/aumenta chance de vitória ou é ruim para o candidato, diminui as chances de vitória do candidato?|35|Cuiabá|Vazio|Feminino|Não sabe ou não respondeu|Quanti Cuiabá|Vazio|35 a 44|Cristão/Evangélico
0|251|40|24-Abilio ou Fábio Garcia ?|24|Cuiabá|Jardim das Américas |Feminino|Fábio Garcia|Quanti Cuiabá|Leste|35 a 44|Cristão/Católico
0|251|41|25-Abílio ou Lúdio ?|25|Cuiabá|Jardim das Américas |Feminino|Abilio|Quanti Cuiabá|Leste|35 a 44|Cristão/Católico
0|251|42|26-Botelho ou Fábio Garcia ?|26|Cuiabá|Jardim das Américas |Feminino|Fábio Garcia|Quanti Cuiabá|Leste|35 a 44|Cristão/Católico
0|251|43|27-Botelho ou Lúdio ?|27|Cuiabá|Jardim das Américas |Feminino|Não sabe ou não respondeu|Quanti Cuiabá|Leste|35 a 44|Cristão/Católico
0|251|44|28-Lúdio ou Fábio Garcia ?|28|Cuiabá|Jardim das Américas |Feminino|Fábio Garcia|Quanti Cuiabá|Leste|35 a 44|Cristão/Católico
0|251|46|29-Você apoia a legalização do aborto no Brasil?|29|Cuiabá|Jardim das Américas |Feminino|Não|Quanti Cuiabá|Leste|35 a 44|Cristão/Católico
0|251|47|36-Você apoia a legítima defesa armada no Brasil? Nesse sentido, vc apoia o armamento civil para cidadãos que desejarem?|36|Cuiabá|Jardim das Américas |Feminino|Sim|Quanti Cuiabá|Leste|35 a 44|Cristão/Católico
0|251|1000|01-Você professa alguma religião? Qual?|1|Cuiabá|Jardim das Américas |Feminino|Cristão/Católico|Quanti Cuiabá|Leste|35 a 44|Cristão/Católico
0|251|1001|02-Você pretende votar nas próximas eleições para Prefeito de Cuiabá?|2|Cuiabá|Jardim das Américas |Feminino|Sim|Quanti Cuiabá|Leste|35 a 44|Cristão/Católico
0|251|1002|03-Qual sua idade?|3|Cuiabá|Jardim das Américas |Feminino|35 a 44|Quanti Cuiabá|Leste|35 a 44|Cristão/Católico
0|251|1003|04-Você diria que a atual gestão do Prefeito Emanuel Pinheiro é:|4|Cuiabá|Jardim das Américas |Feminino|Ruim/Reprova|Quanti Cuiabá|Leste|35 a 44|Cristão/Católico
0|251|1004|05-Você diria que a atual gestão do Governador Mauro Mendes é:|5|Cuiabá|Jardim das Américas |Feminino|Boa/Aprova|Quanti Cuiabá|Leste|35 a 44|Cristão/Católico
0|251|1005|06-Você diria que a atual gestão do Presidente Lula é:|6|Cuiabá|Jardim das Américas |Feminino|Ruim/Reprova|Quanti Cuiabá|Leste|35 a 44|Cristão/Católico
0|251|1006|07-Você diria que a Saúde Pública em Cuiabá está:|7|Cuiabá|Jardim das Américas |Feminino|Ruim/Reprova|Quanti Cuiabá|Leste|35 a 44|Cristão/Católico
0|251|1007|08-Quem administra a Saúde Pública em Cuiabá:|8|Cuiabá|Jardim das Américas |Feminino|Indiferente|Quanti Cuiabá|Leste|35 a 44|Cristão/Católico
0|251|1008|09-Você já ouviu falar sobre a intervenção na Saúde Pública em Cuiabá:|9|Cuiabá|Jardim das Américas |Feminino|Ouvi falar|Quanti Cuiabá|Leste|35 a 44|Cristão/Católico
0|251|1009|10-Atualmente, a Saúde Pública, sob intervenção do Governo Estadual em Cuiabá:|10|Cuiabá|Jardim das Américas |Feminino|Não sabe ou não respondeu|Quanti Cuiabá|Leste|35 a 44|Cristão/Católico
0|251|1010|11-Na sua opinião, a Saúde Pública, sob intervenção do Governo Estadual em Cuiabá, melhorou ou piorou?|11|Cuiabá|Jardim das Américas |Feminino|Não sabe ou não respondeu|Quanti Cuiabá|Leste|35 a 44|Cristão/Católico
